"structural_breakpoint","id"
false,0
false,1
true,2
false,3
false,4
false,5
true,6
false,7
false,8
false,9
false,10
false,11
false,12
true,13
false,14
true,15
true,16
false,17
false,18
true,19
false,20
false,21
true,22
true,23
false,24
false,25
false,26
false,27
false,28
true,29
false,30
false,31
true,32
true,33
true,34
false,35
false,36
false,37
false,38
false,39
true,40
false,41
false,42
false,43
false,44
true,45
true,46
false,47
false,48
true,49
false,50
false,51
false,52
false,53
false,54
true,55
false,56
true,57
true,58
false,59
false,60
true,61
true,62
false,63
false,64
true,65
true,66
true,67
false,68
false,69
false,70
false,71
false,72
false,73
true,74
false,75
true,76
true,77
false,78
false,79
false,80
false,81
true,82
false,83
true,84
true,85
false,86
true,87
true,88
false,89
false,90
true,91
false,92
false,93
false,94
false,95
false,96
false,97
true,98
false,99
false,100
false,101
false,102
true,103
false,104
false,105
false,106
true,107
false,108
true,109
false,110
true,111
false,112
true,113
false,114
false,115
false,116
true,117
true,118
false,119
true,120
false,121
true,122
false,123
false,124
false,125
false,126
false,127
false,128
false,129
false,130
false,131
true,132
false,133
false,134
false,135
false,136
false,137
false,138
true,139
false,140
true,141
false,142
false,143
false,144
false,145
false,146
false,147
false,148
false,149
false,150
true,151
false,152
true,153
false,154
false,155
true,156
false,157
false,158
false,159
false,160
false,161
true,162
false,163
false,164
false,165
false,166
false,167
true,168
true,169
false,170
false,171
true,172
true,173
false,174
false,175
false,176
false,177
true,178
true,179
false,180
true,181
false,182
false,183
true,184
true,185
true,186
false,187
false,188
false,189
true,190
false,191
false,192
true,193
true,194
false,195
false,196
false,197
true,198
false,199
false,200
true,201
true,202
false,203
false,204
false,205
false,206
false,207
true,208
false,209
true,210
false,211
false,212
false,213
false,214
true,215
false,216
false,217
true,218
false,219
false,220
false,221
true,222
true,223
false,224
true,225
false,226
false,227
false,228
false,229
false,230
true,231
false,232
true,233
false,234
false,235
false,236
false,237
false,238
false,239
false,240
false,241
false,242
false,243
true,244
true,245
false,246
true,247
true,248
false,249
false,250
false,251
false,252
false,253
true,254
true,255
false,256
true,257
true,258
false,259
false,260
false,261
false,262
true,263
false,264
true,265
true,266
false,267
true,268
false,269
true,270
false,271
false,272
false,273
true,274
false,275
true,276
true,277
false,278
false,279
true,280
true,281
false,282
true,283
false,284
true,285
true,286
false,287
true,288
false,289
true,290
false,291
false,292
false,293
false,294
false,295
true,296
true,297
false,298
false,299
false,300
true,301
true,302
true,303
true,304
false,305
false,306
true,307
false,308
false,309
false,310
true,311
false,312
false,313
false,314
false,315
false,316
false,317
false,318
false,319
false,320
false,321
false,322
false,323
false,324
false,325
false,326
true,327
false,328
false,329
false,330
false,331
true,332
true,333
true,334
false,335
false,336
false,337
false,338
false,339
false,340
true,341
true,342
false,343
false,344
false,345
true,346
false,347
false,348
false,349
false,350
false,351
false,352
true,353
true,354
true,355
false,356
false,357
false,358
false,359
true,360
false,361
false,362
false,363
true,364
false,365
false,366
true,367
false,368
false,369
false,370
false,371
false,372
false,373
false,374
false,375
false,376
true,377
false,378
false,379
false,380
true,381
false,382
false,383
true,384
true,385
false,386
true,387
false,388
false,389
false,390
false,391
false,392
false,393
false,394
false,395
true,396
true,397
true,398
false,399
false,400
false,401
false,402
false,403
false,404
false,405
false,406
false,407
true,408
false,409
true,410
true,411
false,412
true,413
true,414
false,415
false,416
true,417
false,418
true,419
false,420
false,421
true,422
false,423
true,424
false,425
false,426
false,427
false,428
true,429
false,430
true,431
false,432
true,433
false,434
false,435
false,436
false,437
false,438
false,439
false,440
false,441
false,442
false,443
true,444
true,445
false,446
true,447
false,448
false,449
false,450
false,451
false,452
false,453
false,454
true,455
true,456
false,457
true,458
false,459
false,460
false,461
true,462
false,463
false,464
false,465
false,466
